SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,Yahoo Ticker,Sector,Industry
GODREJAGRO,Godrej Agrovet Limited,EQ,16-Oct-17,10,1,INE850D01014,10,GODREJAGRO.NS,Consumer Defensive,Packaged Foods
GODREJCP,Godrej Consumer Products Limited,EQ,20-Jun-01,1,1,INE102D01028,1,GODREJCP.NS,Consumer Defensive,Household & Personal Products
GODREJIND,Godrej Industries Limited,EQ,25-Feb-03,1,1,INE233A01035,1,GODREJIND.NS,Industrials,Conglomerates
GODREJPROP,Godrej Properties Limited,EQ,05-Jan-10,5,1,INE484J01027,5,GODREJPROP.NS,Real Estate,Real Estate - Development
GOKEX,Gokaldas Exports Limited,EQ,27-Apr-05,5,1,INE887G01027,5,GOKEX.NS,Consumer Cyclical,Apparel Manufacturing
GOKUL,Gokul Refoils and Solvent Limited,EQ,04-Jun-08,2,1,INE020J01029,2,GOKUL.NS,Consumer Defensive,Packaged Foods
GOKULAGRO,Gokul Agro Resources Limited,EQ,11-Mar-16,1,1,INE314T01033,1,GOKULAGRO.NS,Consumer Defensive,Packaged Foods
GOLDENTOBC,Golden Tobacco Limited,BZ,08-Feb-95,10,1,INE973A01010,10,GOLDENTOBC.NS,Consumer Defensive,Tobacco
GOLDIAM,Goldiam International Limited,EQ,29-Aug-05,2,1,INE025B01025,2,GOLDIAM.NS,Consumer Cyclical,Luxury Goods
GOLDTECH,AION-TECH SOLUTIONS LIMITED,EQ,11-Apr-01,10,1,INE805A01014,10,GOLDTECH.NS,Technology,Information Technology Services
GOODLUCK,Goodluck India Limited,EQ,08-Jan-15,2,1,INE127I01024,2,GOODLUCK.NS,Basic Materials,Steel
GOODYEAR,Goodyear India Limited,EQ,20-Apr-26,10,1,INE533A01012,10,GOODYEAR.NS,Consumer Cyclical,Auto Parts
GOPAL,Gopal Snacks Limited,EQ,14-Mar-24,1,1,INE0L9R01028,1,GOPAL.NS,Consumer Defensive,Packaged Foods
GOYALALUM,Goyal Aluminiums Limited,EQ,04-Nov-22,1,1,INE705X01026,1,GOYALALUM.NS,Basic Materials,Aluminum
GPIL,Godawari Power And Ispat limited,EQ,25-Apr-06,1,1,INE177H01039,1,GPIL.NS,Basic Materials,Steel
GPPL,Gujarat Pipavav Port Limited,EQ,09-Sep-10,10,1,INE517F01014,10,GPPL.NS,Industrials,Marine Shipping
GPTHEALTH,GPT Healthcare Limited,EQ,29-Feb-24,10,1,INE486R01017,10,GPTHEALTH.NS,Healthcare,Medical Care Facilities
GPTINFRA,GPT Infraprojects Limited,EQ,11-Jul-16,10,1,INE390G01014,10,GPTINFRA.NS,Industrials,Engineering & Construction
GRADIENTE,Gradiente Infotainment Limited,EQ,08-May-26,10,1,INE361K01017,10,GRADIENTE.NS,Communication Services,Entertainment
GRANDOAK,Grand Oak Canyons Distillery Limited,EQ,20-Apr-26,10,1,INE926B01016,10,GRANDOAK.NS,,
GRANULES,Granules India Limited,EQ,20-Jun-05,1,1,INE101D01020,1,GRANULES.NS,Healthcare,Drug Manufacturers - Specialty & Generic
GRAPHITE,Graphite India Limited,EQ,07-Feb-03,2,1,INE371A01025,2,GRAPHITE.NS,Industrials,Electrical Equipment & Parts
GRASIM,Grasim Industries Limited,EQ,10-May-95,2,1,INE047A01021,2,GRASIM.NS,Basic Materials,Building Materials
GRAUWEIL,Grauer & Weil India Limited,EQ,20-Apr-26,1,1,INE266D01021,1,GRAUWEIL.NS,Basic Materials,Specialty Chemicals
GRAVISSHO,Graviss Hospitality Limited,EQ,20-Apr-26,2,1,INE214F01026,2,GRAVISSHO.NS,,
GRAVITA,Gravita India Limited,EQ,16-Nov-10,2,1,INE024L01027,2,GRAVITA.NS,Industrials,Metal Fabrication
GREAVESCOT,Greaves Cotton Limited,EQ,09-Sep-04,2,1,INE224A01026,2,GREAVESCOT.NS,Industrials,Specialty Industrial Machinery
GREENLAM,Greenlam Industries Limited,EQ,02-Mar-15,1,1,INE544R01021,1,GREENLAM.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
GREENPANEL,Greenpanel Industries Limited,EQ,23-Oct-19,1,1,INE08ZM01014,1,GREENPANEL.NS,Basic Materials,Lumber & Wood Production
GREENPLY,Greenply Industries Limited,EQ,06-Mar-96,1,1,INE461C01038,1,GREENPLY.NS,Basic Materials,Lumber & Wood Production
GREENPOWER,Orient Green Power Company Limited,EQ,08-Oct-10,10,1,INE999K01014,10,GREENPOWER.NS,Utilities,Utilities - Independent Power Producers
GRINDWELL,Grindwell Norton Limited,EQ,11-Sep-06,5,1,INE536A01023,5,GRINDWELL.NS,Industrials,Building Products & Equipment
GRINFRA,G R Infraprojects Limited,EQ,19-Jul-21,5,1,INE201P01022,5,GRINFRA.NS,Industrials,Engineering & Construction
GRMOVER,GRM Overseas Limited,EQ,07-Sep-22,2,1,INE192H01020,2,GRMOVER.NS,Consumer Defensive,Packaged Foods
GROBTEA,The Grob Tea Company Limited,EQ,14-Jul-16,10,1,INE646C01018,10,GROBTEA.NS,Consumer Defensive,Farm Products
GROWW,Billionbrains Garage Ventures Limited,EQ,12-Nov-25,2,1,INE0HOQ01053,2,GROWW.NS,Financial Services,Capital Markets
GRPLTD,GRP Limited,EQ,12-Feb-15,10,1,INE137I01015,10,GRPLTD.NS,Consumer Cyclical,Auto Parts
GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ,10-Oct-18,10,1,INE382Z01011,10,GRSE.NS,Industrials,Aerospace & Defense
GRWRHITECH,Garware Hi-Tech Films Limited,EQ,03-Feb-22,10,1,INE291A01017,10,GRWRHITECH.NS,Basic Materials,Specialty Chemicals
GSFC,Gujarat State Fertilizers & Chemicals Limited,EQ,06-Sep-95,2,1,INE026A01025,2,GSFC.NS,Basic Materials,Agricultural Inputs
GSLSU,Global Surfaces Limited,EQ,23-Mar-23,10,1,INE0JSX01015,10,GSLSU.NS,Basic Materials,Building Materials
GSPCROP,GSP Crop Science Limited,EQ,24-Mar-26,10,1,INE713R01022,10,GSPCROP.NS,Basic Materials,Agricultural Inputs
GSS,GSS Infotech Limited,BE,07-Mar-08,10,1,INE871H01011,10,GSS.NS,Technology,Information Technology Services
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,EQ,13-Nov-20,10,1,INE586X01012,10,GTECJAINX.NS,Consumer Defensive,Education & Training Services
GTL,GTL Limited,EQ,29-Mar-95,10,1,INE043A01012,10,GTL.NS,Communication Services,Telecom Services
GTLINFRA,GTL Infrastructure Limited,EQ,09-Nov-06,10,1,INE221H01019,10,GTLINFRA.NS,Technology,Communication Equipment
GTPL,GTPL Hathway Limited,EQ,04-Jul-17,10,1,INE869I01013,10,GTPL.NS,Communication Services,Entertainment
GUFICBIO,Gufic Biosciences Limited,EQ,19-Oct-04,1,1,INE742B01025,1,GUFICBIO.NS,Healthcare,Drug Manufacturers - Specialty & Generic
